file,filetime,mtime,ctime,atime,diff
X:\OneDrive\Pictures\Laura ♥\IMG_20191008_190520.jpg,2019-10-08 19:05:20,2019-10-09 05:00:48,2021-06-16 07:30:50.662611,2022-09-17 21:39:47.584158,9:55:28
X:\OneDrive\Pictures\Laura ♥\IMG_20191008_190336.jpg,2019-10-08 19:03:36,2019-10-09 05:00:41,2021-06-16 07:30:50.812211,2022-09-17 21:39:47.601141,9:57:05
X:\OneDrive\Pictures\Laura ♥\IMG_20200811_173619.jpg,2020-08-11 17:36:19,2020-08-12 04:59:57,2021-06-16 07:53:04.560786,2022-09-17 21:39:46.040167,11:23:38
X:\OneDrive\Pictures\Laura ♥\IMG_20200811_173625.jpg,2020-08-11 17:36:25,2020-08-12 05:00:32,2021-06-16 07:53:04.668498,2022-09-17 21:39:46.024235,11:24:07
X:\OneDrive\Pictures\Laura ♥\IMG_20200811_173634.jpg,2020-08-11 17:36:34,2020-08-12 05:01:12,2021-06-16 07:53:04.790172,2022-09-17 21:39:46.001999,11:24:38
X:\OneDrive\Pictures\Laura ♥\IMG_20200811_173635.jpg,2020-08-11 17:36:35,2020-08-12 05:01:52,2021-06-16 07:53:04.973682,2022-09-17 21:39:45.982051,11:25:17
X:\OneDrive\Pictures\Laura ♥\IMG_20200811_173637.jpg,2020-08-11 17:36:37,2020-08-12 05:02:30,2021-06-16 07:53:05.004599,2022-09-17 21:39:45.965097,11:25:53
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_105052.jpg,2019-10-28 10:50:52,2019-10-28 22:50:53,2021-06-16 07:31:37.715791,2022-09-17 21:39:47.087197,12:00:01
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_105054.jpg,2019-10-28 10:50:54,2019-10-28 22:51:01,2021-06-16 07:31:37.821509,2022-09-17 21:39:47.062227,12:00:07
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102922.jpg,2019-10-28 10:29:22,2019-10-28 22:49:23,2021-06-16 07:31:33.661633,2022-09-17 21:39:47.189740,12:20:01
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102923.jpg,2019-10-28 10:29:23,2019-10-28 22:49:54,2021-06-16 07:31:34.082507,2022-09-17 21:39:47.166643,12:20:31
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102924.jpg,2019-10-28 10:29:24,2019-10-28 22:50:13,2021-06-16 07:31:34.112427,2022-09-17 21:39:47.140435,12:20:49
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102928.jpg,2019-10-28 10:29:28,2019-10-28 22:50:38,2021-06-16 07:31:34.732768,2022-09-17 21:39:47.124995,12:21:10
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102929.jpg,2019-10-28 10:29:29,2019-10-28 22:50:46,2021-06-16 07:31:37.321845,2022-09-17 21:39:47.109016,12:21:17
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102641.jpg,2019-10-28 10:26:41,2019-10-28 22:48:28,2021-06-16 04:57:47.776987,2022-09-17 21:39:47.253210,12:21:47
X:\OneDrive\Pictures\Laura ♥\IMG_20190916_190436.jpg,2019-09-16 19:04:36,2019-09-17 07:26:33,2021-06-16 07:31:01.529554,2022-09-17 21:39:47.694242,12:21:57
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102550.jpg,2019-10-28 10:25:50,2019-10-28 22:47:56,2021-06-16 07:31:33.600795,2022-09-17 21:39:47.274025,12:22:06
X:\OneDrive\Pictures\Laura ♥\IMG_20191028_102642.jpg,2019-10-28 10:26:42,2019-10-28 22:49:05,2021-06-16 04:57:47.627368,2022-09-17 21:39:47.228897,12:22:23
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190806_101018.jpg,2019-08-06 10:10:18,2019-08-06 22:32:48,2021-06-16 07:17:47.305298,2022-09-17 21:41:55.581276,12:22:30
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190806_100744.jpg,2019-08-06 10:07:44,2019-08-06 22:32:22,2021-06-16 07:17:46.487484,2022-09-17 21:41:55.643783,12:24:38
X:\OneDrive\Pictures\Laura ♥\IMG_20190916_184402.jpg,2019-09-16 18:44:02,2019-09-17 07:25:59,2021-06-16 07:31:01.256284,2022-09-17 21:39:47.725165,12:41:57
X:\OneDrive\Pictures\Laura ♥\IMG_20190916_184404.jpg,2019-09-16 18:44:04,2019-09-17 07:26:13,2021-06-16 07:31:01.362998,2022-09-17 21:39:47.709208,12:42:09
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173651.jpg,2019-08-10 17:36:51,2019-08-11 06:53:28,2021-06-16 07:17:52.921280,2022-09-17 21:39:30.381408,13:16:37
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173749.jpg,2019-08-10 17:37:49,2019-08-11 07:03:08,2021-06-16 07:17:53.314229,2022-09-17 21:39:30.108679,13:25:19
X:\OneDrive\Pictures\Laura ♥\IMG_20200814_163441.jpg,2020-08-14 16:34:41,2020-08-15 06:00:07,2021-06-16 07:20:08.391036,2022-09-17 21:39:45.831563,13:25:26
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173800_1.jpg,2019-08-10 17:38:00,2019-08-11 07:08:51,2021-06-16 07:17:54.612757,2022-09-17 21:39:30.005138,13:30:51
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173801.jpg,2019-08-10 17:38:01,2019-08-11 07:09:50,2021-06-16 07:17:54.642678,2022-09-17 21:39:29.936718,13:31:49
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_123427.jpg,2019-11-02 12:34:27,2019-11-03 02:17:23,2021-06-16 07:32:33.801818,2022-09-17 21:39:46.839255,13:42:56
X:\OneDrive\Pictures\Laura ♥\IMG_20190930_094659.jpg,2019-09-30 09:46:59,2019-09-30 23:42:18,2021-06-16 03:46:50.729316,2022-09-17 21:39:47.655128,13:55:19
X:\OneDrive\Pictures\Laura ♥\IMG_20190930_094700.jpg,2019-09-30 09:47:00,2019-09-30 23:42:31,2021-06-16 03:46:54.664209,2022-09-17 21:39:47.631531,13:55:31
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190808_154543.jpg,2019-08-08 15:45:43,2019-08-09 06:02:59,2021-06-16 07:17:48.998769,2022-09-17 21:39:30.597315,14:17:16
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190808_154545.jpg,2019-08-08 15:45:45,2019-08-09 06:04:53,2021-06-16 05:16:38.531347,2022-09-17 21:39:30.573282,14:19:08
X:\OneDrive\Pictures\Laura ♥\IMG_20191213_155736.jpg,2019-12-13 15:57:36,2019-12-14 06:17:58,2021-06-16 06:50:02.176827,2022-09-17 21:39:46.698553,14:20:22
X:\OneDrive\Pictures\Laura ♥\IMG_20191213_153245.jpg,2019-12-13 15:32:45,2019-12-14 06:17:42,2021-06-16 07:36:56.490393,2022-09-17 21:39:46.740484,14:44:57
X:\OneDrive\Pictures\Laura ♥\IMG_20191213_153246.jpg,2019-12-13 15:32:46,2019-12-14 06:17:52,2021-06-16 07:36:56.520312,2022-09-17 21:39:46.721297,14:45:06
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_154146.jpg,2019-08-10 15:41:46,2019-08-11 06:52:29,2021-06-16 07:17:52.859445,2022-09-17 21:39:30.399560,15:10:43
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_151913.jpg,2019-08-10 15:19:13,2019-08-11 06:49:37,2021-06-16 07:17:49.315921,2022-09-17 21:39:30.503072,15:30:24
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_151914.jpg,2019-08-10 15:19:14,2019-08-11 06:49:56,2021-06-16 07:17:49.541318,2022-09-17 21:39:30.479133,15:30:42
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_151916.jpg,2019-08-10 15:19:16,2019-08-11 06:50:30,2021-06-16 07:17:50.145703,2022-09-17 21:39:30.459699,15:31:14
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_151918.jpg,2019-08-10 15:19:18,2019-08-11 06:51:09,2021-06-16 07:17:50.477814,2022-09-17 21:39:30.435079,15:31:51
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_151918_1.jpg,2019-08-10 15:19:18,2019-08-11 06:51:59,2021-06-16 07:17:50.765046,2022-09-17 21:39:30.417097,15:32:41
X:\OneDrive\Pictures\Laura ♥\IMG_20191213_143927.jpg,2019-12-13 14:39:27,2019-12-14 06:17:32,2021-06-16 07:36:56.308879,2022-09-17 21:39:46.759939,15:38:05
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173800.jpg,2019-08-10 17:38:00,2019-08-11 09:33:33,2021-06-16 07:17:59.804873,2022-09-17 21:39:30.042500,15:55:33
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173700.jpg,2019-08-10 17:37:00,2019-08-11 09:33:03,2021-06-16 07:17:59.773956,2022-09-17 21:39:30.181742,15:56:03
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173652.jpg,2019-08-10 17:36:52,2019-08-11 09:55:01,2021-06-16 07:18:00.318500,2022-09-17 21:39:30.326517,16:18:09
X:\OneDrive\Pictures\Laura ♥\[2019-10] Hochzeit Kevin Laura\IMG_20190810_173659.jpg,2019-08-10 17:36:59,2019-08-11 09:55:40,2021-06-16 07:18:00.636649,2022-09-17 21:39:30.257440,16:18:41
X:\OneDrive\Pictures\Chillin' with friends\Forbeyond\22020513 PRZ Launch\IMG_20220513_152728.jpg,2022-05-13 15:27:28,2022-05-14 09:55:09,2022-05-14 22:01:21.068884,2022-09-17 21:38:58.149106,18:27:41
X:\OneDrive\Pictures\Chillin' with friends\Forbeyond\IMG_20200124_003222.jpg,2020-01-24 00:32:22,2020-01-24 20:18:26,2021-06-16 03:16:38.599934,2022-09-17 21:39:06.593570,19:46:04
X:\OneDrive\Pictures\Misc\Worth a photo\IMG_20200307_221257.jpg,2020-03-07 22:12:57,2020-03-08 18:05:36,2021-06-16 02:12:50.419036,2022-09-17 21:39:56.675070,19:52:39
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001703.jpg,2020-08-01 00:17:03,2020-08-01 22:41:34,2021-06-16 07:52:30.555715,2022-09-17 21:39:09.926198,22:24:31
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001744.jpg,2020-08-01 00:17:44,2020-08-01 22:42:15,2021-06-16 06:40:40.615435,2022-09-17 21:39:09.784790,22:24:31
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001705.jpg,2020-08-01 00:17:05,2020-08-01 22:41:43,2021-06-16 06:40:42.859434,2022-09-17 21:39:09.885746,22:24:38
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001746.jpg,2020-08-01 00:17:46,2020-08-01 22:42:27,2021-06-16 06:40:53.293534,2022-09-17 21:39:09.760026,22:24:41
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001707.jpg,2020-08-01 00:17:07,2020-08-01 22:41:54,2021-06-16 06:40:44.806228,2022-09-17 21:39:09.865774,22:24:47
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001712.jpg,2020-08-01 00:17:12,2020-08-01 22:42:02,2021-06-16 06:40:40.145691,2022-09-17 21:39:09.846712,22:24:50
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001746_1.jpg,2020-08-01 00:17:46,2020-08-01 22:42:38,2021-06-16 06:40:54.442461,2022-09-17 21:39:09.744096,22:24:52
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001751.jpg,2020-08-01 00:17:51,2020-08-01 22:42:48,2021-06-16 06:40:45.472448,2022-09-17 21:39:09.720023,22:24:57
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001752.jpg,2020-08-01 00:17:52,2020-08-01 22:42:59,2021-06-16 06:40:50.828127,2022-09-17 21:39:09.702876,22:25:07
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001233.jpg,2020-08-01 00:12:33,2020-08-01 22:41:11,2021-06-16 06:40:17.568063,2022-09-17 21:39:09.969272,22:28:38
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200801_001236.jpg,2020-08-01 00:12:36,2020-08-01 22:41:24,2021-06-16 07:52:30.524797,2022-09-17 21:39:09.946325,22:28:48
X:\OneDrive\Pictures\Family\[2020] Mama Geburtstag\IMG_20200531_214902.jpg,2020-05-31 21:49:02,2020-06-01 20:25:49,2021-06-16 07:49:43.333863,2022-09-17 21:39:23.137017,22:36:47
X:\OneDrive\Pictures\Family\[2020] Mama Geburtstag\IMG_20200531_214910.jpg,2020-05-31 21:49:10,2020-06-01 20:25:58,2021-06-16 07:49:43.484462,2022-09-17 21:39:23.103945,22:36:48
X:\OneDrive\Pictures\Family\[2020] Mama Geburtstag\IMG_20200531_214905.jpg,2020-05-31 21:49:05,2020-06-01 20:25:54,2021-06-16 07:49:43.408664,2022-09-17 21:39:23.121946,22:36:49
X:\OneDrive\Pictures\Family\[2020] Mama Geburtstag\IMG_20200531_214839.jpg,2020-05-31 21:48:39,2020-06-01 20:25:42,2021-06-16 07:49:42.863122,2022-09-17 21:39:23.163998,22:37:03
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200125_224539.jpg,2020-01-25 22:45:39,2020-01-26 21:54:22,2021-06-16 07:42:41.508818,2022-09-17 21:39:10.039043,23:08:43
X:\OneDrive\Pictures\Chillin' with friends\IMG_20200125_224541.jpg,2020-01-25 22:45:41,2020-01-26 21:54:30,2021-06-16 05:21:34.044150,2022-09-17 21:39:09.999019,23:08:49
X:\OneDrive\Pictures\Misc\Nom Nom Nom\IMG_20200123_203729.jpg,2020-01-23 20:37:29,2020-01-24 20:18:23,2021-06-16 03:16:39.994321,2022-09-17 21:39:54.740193,23:40:54
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190731_190254.jpg,2019-07-31 19:02:54,2019-08-01 19:24:07,2021-06-16 07:14:40.812975,2022-09-17 21:42:05.946052,1 day 0:21:13
X:\OneDrive\Pictures\Chillin' with friends\Forbeyond\IMG_20200123_190237.jpg,2020-01-23 19:02:37,2020-01-24 20:18:19,2021-06-16 07:40:58.996933,2022-09-17 21:39:06.641827,1 day 1:15:42
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141725.jpg,2019-08-02 14:17:25,2019-08-03 15:51:29,2021-06-16 07:16:14.992142,2022-09-17 21:41:59.905324,1 day 1:34:04
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141727.jpg,2019-08-02 14:17:27,2019-08-03 15:51:32,2021-06-16 07:16:15.669331,2022-09-17 21:41:59.842087,1 day 1:34:05
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141709.jpg,2019-08-02 14:17:09,2019-08-03 15:51:14,2021-06-16 07:16:11.538377,2022-09-17 21:42:00.217410,1 day 1:34:05
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141716.jpg,2019-08-02 14:17:16,2019-08-03 15:51:22,2021-06-16 03:37:17.450734,2022-09-17 21:42:00.034217,1 day 1:34:06
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141705.jpg,2019-08-02 14:17:05,2019-08-03 15:51:11,2021-06-16 07:16:11.342899,2022-09-17 21:42:00.277583,1 day 1:34:06
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141710.jpg,2019-08-02 14:17:10,2019-08-03 15:51:17,2021-06-16 07:16:11.897417,2022-09-17 21:42:00.157654,1 day 1:34:07
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141718.jpg,2019-08-02 14:17:18,2019-08-03 15:51:25,2021-06-16 03:37:14.404020,2022-09-17 21:41:59.970349,1 day 1:34:07
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141712.jpg,2019-08-02 14:17:12,2019-08-03 15:51:20,2021-06-16 07:16:13.321608,2022-09-17 21:42:00.096138,1 day 1:34:08
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141727_1.jpg,2019-08-02 14:17:27,2019-08-03 15:51:36,2021-06-16 07:08:30.197994,2022-09-17 21:41:59.776548,1 day 1:34:09
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141641.jpg,2019-08-02 14:16:41,2019-08-03 15:51:05,2021-06-16 07:16:09.950622,2022-09-17 21:42:00.397154,1 day 1:34:24
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141643.jpg,2019-08-02 14:16:43,2019-08-03 15:51:08,2021-06-16 07:16:10.371497,2022-09-17 21:42:00.341442,1 day 1:34:25
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141635.jpg,2019-08-02 14:16:35,2019-08-03 15:51:01,2021-06-16 07:16:09.620505,2022-09-17 21:42:00.453887,1 day 1:34:26
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141630.jpg,2019-08-02 14:16:30,2019-08-03 15:50:59,2021-06-16 07:16:09.274431,2022-09-17 21:42:00.517756,1 day 1:34:29
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141623.jpg,2019-08-02 14:16:23,2019-08-03 15:50:53,2021-06-16 07:16:06.851908,2022-09-17 21:42:00.645315,1 day 1:34:30
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141625.jpg,2019-08-02 14:16:25,2019-08-03 15:50:56,2021-06-16 07:16:07.852233,2022-09-17 21:42:00.583642,1 day 1:34:31
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141327.jpg,2019-08-02 14:13:27,2019-08-03 15:50:50,2021-06-16 07:16:05.253183,2022-09-17 21:42:00.700552,1 day 1:37:23
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141313.jpg,2019-08-02 14:13:13,2019-08-03 15:50:46,2021-06-16 07:16:05.147467,2022-09-17 21:42:00.764577,1 day 1:37:33
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_141121.jpg,2019-08-02 14:11:21,2019-08-03 15:50:43,2021-06-16 07:16:04.632842,2022-09-17 21:42:00.829638,1 day 1:39:22
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_140419.jpg,2019-08-02 14:04:19,2019-08-03 15:50:41,2021-06-16 07:16:04.279786,2022-09-17 21:42:00.894437,1 day 1:46:22
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_210758.jpg,2019-08-03 21:07:58,2019-08-04 22:55:23,2021-06-16 07:17:25.357984,2022-09-17 21:41:56.518849,1 day 1:47:25
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_140001.jpg,2019-08-02 14:00:01,2019-08-03 15:50:39,2021-06-16 07:16:03.888831,2022-09-17 21:42:00.957885,1 day 1:50:38
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_135952.jpg,2019-08-02 13:59:52,2019-08-03 15:50:36,2021-06-16 07:16:01.759525,2022-09-17 21:42:01.021855,1 day 1:50:44
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_135624.jpg,2019-08-02 13:56:24,2019-08-03 15:50:32,2021-06-16 07:15:59.642187,2022-09-17 21:42:01.086266,1 day 1:54:08
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_135212.jpg,2019-08-02 13:52:12,2019-08-03 15:50:29,2021-06-16 07:15:58.372582,2022-09-17 21:42:01.100032,1 day 1:58:17
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_135204.jpg,2019-08-02 13:52:04,2019-08-03 15:50:26,2021-06-16 07:15:56.667142,2022-09-17 21:42:01.135782,1 day 1:58:22
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_132430.jpg,2019-08-02 13:24:30,2019-08-03 15:50:24,2021-06-16 07:15:54.765228,2022-09-17 21:42:01.194538,1 day 2:25:54
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_132256.jpg,2019-08-02 13:22:56,2019-08-03 15:50:21,2021-06-16 07:15:51.589719,2022-09-17 21:42:01.256938,1 day 2:27:25
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_132253.jpg,2019-08-02 13:22:53,2019-08-03 15:50:19,2021-06-16 07:15:50.411870,2022-09-17 21:42:01.304521,1 day 2:27:26
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_131658.jpg,2019-08-02 13:16:58,2019-08-03 15:50:17,2021-06-16 07:15:49.864334,2022-09-17 21:42:01.326429,1 day 2:33:19
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_131649.jpg,2019-08-02 13:16:49,2019-08-03 15:50:15,2021-06-16 07:15:49.244989,2022-09-17 21:42:01.385438,1 day 2:33:26
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_130902.jpg,2019-08-02 13:09:02,2019-08-03 15:50:12,2021-06-16 07:15:48.078109,2022-09-17 21:42:01.398096,1 day 2:41:10
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_130857.jpg,2019-08-02 13:08:57,2019-08-03 15:50:10,2021-06-16 07:15:45.286574,2022-09-17 21:42:01.418406,1 day 2:41:13
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_125628.jpg,2019-08-02 12:56:28,2019-08-03 15:50:07,2021-06-16 07:15:44.452803,2022-09-17 21:42:01.478264,1 day 2:53:39
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_125527.jpg,2019-08-02 12:55:27,2019-08-03 15:50:05,2021-06-16 07:15:42.910926,2022-09-17 21:42:01.535821,1 day 2:54:38
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124949.jpg,2019-08-02 12:49:49,2019-08-03 15:50:02,2021-06-16 07:15:42.727417,2022-09-17 21:42:01.551183,1 day 3:00:13
X:\OneDrive\Pictures\Chillin' with friends\Forbeyond\IMG_20200123_171648.jpg,2020-01-23 17:16:48,2020-01-24 20:18:14,2021-06-16 07:40:50.137623,2022-09-17 21:39:06.684519,1 day 3:01:26
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124546.jpg,2019-08-02 12:45:46,2019-08-03 15:50:00,2021-06-16 07:15:42.089123,2022-09-17 21:42:01.578338,1 day 3:04:14
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124530.jpg,2019-08-02 12:45:30,2019-08-03 15:49:50,2021-06-16 07:15:40.985076,2022-09-17 21:42:01.601641,1 day 3:04:20
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124058.jpg,2019-08-02 12:40:58,2019-08-03 15:49:42,2021-06-16 07:15:37.665951,2022-09-17 21:42:01.665391,1 day 3:08:44
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124051.jpg,2019-08-02 12:40:51,2019-08-03 15:49:37,2021-06-16 07:15:36.138036,2022-09-17 21:42:01.682175,1 day 3:08:46
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124059.jpg,2019-08-02 12:40:59,2019-08-03 15:49:45,2021-06-16 07:15:38.846793,2022-09-17 21:42:01.645679,1 day 3:08:46
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_124101.jpg,2019-08-02 12:41:01,2019-08-03 15:49:49,2021-06-16 07:15:39.058228,2022-09-17 21:42:01.626222,1 day 3:08:48
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123621.jpg,2019-08-02 12:36:21,2019-08-03 15:49:33,2021-06-16 07:15:35.716165,2022-09-17 21:42:01.699360,1 day 3:13:12
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123557.jpg,2019-08-02 12:35:57,2019-08-03 15:49:28,2021-06-16 07:15:35.352138,2022-09-17 21:42:01.718971,1 day 3:13:31
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123430.jpg,2019-08-02 12:34:30,2019-08-03 15:49:25,2021-06-16 07:15:33.902016,2022-09-17 21:42:01.739202,1 day 3:14:55
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123355.jpg,2019-08-02 12:33:55,2019-08-03 15:49:22,2021-06-16 07:15:33.555941,2022-09-17 21:42:01.797570,1 day 3:15:27
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123301.jpg,2019-08-02 12:33:01,2019-08-03 15:49:18,2021-06-16 07:15:31.226171,2022-09-17 21:42:01.943847,1 day 3:16:17
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123251.jpg,2019-08-02 12:32:51,2019-08-03 15:49:09,2021-06-16 07:15:27.660705,2022-09-17 21:42:02.109302,1 day 3:16:18
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123302.jpg,2019-08-02 12:33:02,2019-08-03 15:49:20,2021-06-16 07:15:33.236794,2022-09-17 21:42:01.864378,1 day 3:16:18
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123255.jpg,2019-08-02 12:32:55,2019-08-03 15:49:14,2021-06-16 07:15:28.159372,2022-09-17 21:42:01.999995,1 day 3:16:19
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123252.jpg,2019-08-02 12:32:52,2019-08-03 15:49:11,2021-06-16 07:15:27.812301,2022-09-17 21:42:02.058266,1 day 3:16:19
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123256.jpg,2019-08-02 12:32:56,2019-08-03 15:49:16,2021-06-16 07:15:30.544992,2022-09-17 21:42:01.974065,1 day 3:16:20
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123227.jpg,2019-08-02 12:32:27,2019-08-03 15:49:07,2021-06-16 07:15:27.631783,2022-09-17 21:42:02.167075,1 day 3:16:40
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123143.jpg,2019-08-02 12:31:43,2019-08-03 15:49:04,2021-06-16 07:15:25.929335,2022-09-17 21:42:02.189578,1 day 3:17:21
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123133.jpg,2019-08-02 12:31:33,2019-08-03 15:49:02,2021-06-16 07:15:25.551345,2022-09-17 21:42:02.216958,1 day 3:17:29
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123129.jpg,2019-08-02 12:31:29,2019-08-03 15:48:59,2021-06-16 07:15:23.685335,2022-09-17 21:42:02.240609,1 day 3:17:30
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_123002.jpg,2019-08-02 12:30:02,2019-08-03 15:48:56,2021-06-16 07:15:23.203623,2022-09-17 21:42:02.267265,1 day 3:18:54
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190802_122951.jpg,2019-08-02 12:29:51,2019-08-03 15:48:54,2021-06-16 07:15:21.858221,2022-09-17 21:42:02.298929,1 day 3:19:03
