file,filetime,mtime,ctime,atime,diff
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_213434.jpg,2019-08-04 21:34:34,2019-08-04 22:55:43,2021-06-16 07:17:33.483257,2022-09-17 21:41:56.189420,1:21:09
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_213427.jpg,2019-08-04 21:34:27,2019-08-04 22:55:42,2021-06-16 07:17:33.149151,2022-09-17 21:41:56.207312,1:21:15
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_213313.jpg,2019-08-04 21:33:13,2019-08-04 22:55:42,2021-06-16 07:17:32.193705,2022-09-17 21:41:56.230836,1:22:29
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_213256.jpg,2019-08-04 21:32:56,2019-08-04 22:55:41,2021-06-16 07:17:32.012191,2022-09-17 21:41:56.254261,1:22:45
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_213245.jpg,2019-08-04 21:32:45,2019-08-04 22:55:40,2021-06-16 07:17:31.907472,2022-09-17 21:41:56.273416,1:22:55
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_213240.jpg,2019-08-04 21:32:40,2019-08-04 22:55:40,2021-06-16 07:17:31.876553,2022-09-17 21:41:56.296481,1:23:00
X:\OneDrive\Pictures\Chillin' with friends\Forbeyond\IMG_20200123_171637.jpg,2020-01-23 17:16:37,2020-01-23 18:48:12,2021-06-16 07:40:32.161690,2022-09-17 21:39:06.705150,1:31:35
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212356.jpg,2019-08-04 21:23:56,2019-08-04 22:55:39,2021-06-16 07:17:31.167449,2022-09-17 21:41:56.318256,1:31:43
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212308.jpg,2019-08-04 21:23:08,2019-08-04 22:55:38,2021-06-16 07:17:30.789460,2022-09-17 21:41:56.338932,1:32:30
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212247.jpg,2019-08-04 21:22:47,2019-08-04 22:55:36,2021-06-16 07:17:29.176773,2022-09-17 21:41:56.373701,1:32:49
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212248.jpg,2019-08-04 21:22:48,2019-08-04 22:55:37,2021-06-16 07:17:30.653823,2022-09-17 21:41:56.356639,1:32:49
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212240.jpg,2019-08-04 21:22:40,2019-08-04 22:55:34,2021-06-16 07:17:29.115936,2022-09-17 21:41:56.390722,1:32:54
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212233.jpg,2019-08-04 21:22:33,2019-08-04 22:55:31,2021-06-16 07:17:28.633226,2022-09-17 21:41:56.426437,1:32:58
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212231.jpg,2019-08-04 21:22:31,2019-08-04 22:55:30,2021-06-16 07:17:28.241274,2022-09-17 21:41:56.442113,1:32:59
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190804_212233_1.jpg,2019-08-04 21:22:33,2019-08-04 22:55:33,2021-06-16 07:17:29.055098,2022-09-17 21:41:56.408399,1:33:00
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003848.jpg,2019-11-02 00:38:48,2019-11-02 02:12:50,2021-06-16 07:32:15.126755,2022-09-17 21:39:46.979515,1:34:02
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003900.jpg,2019-11-02 00:39:00,2019-11-02 02:13:03,2021-06-16 07:32:21.852770,2022-09-17 21:39:46.896314,1:34:03
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003836.jpg,2019-11-02 00:38:36,2019-11-02 02:12:39,2021-06-16 07:32:09.285375,2022-09-17 21:39:47.037260,1:34:03
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003855.jpg,2019-11-02 00:38:55,2019-11-02 02:12:59,2021-06-16 07:32:16.108130,2022-09-17 21:39:46.935127,1:34:04
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003837.jpg,2019-11-02 00:38:37,2019-11-02 02:12:42,2021-06-16 07:32:10.434303,2022-09-17 21:39:47.012690,1:34:05
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003901.jpg,2019-11-02 00:39:01,2019-11-02 02:13:07,2021-06-16 07:32:22.004364,2022-09-17 21:39:46.877412,1:34:06
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003849.jpg,2019-11-02 00:38:49,2019-11-02 02:12:55,2021-06-16 07:32:16.077214,2022-09-17 21:39:46.959049,1:34:06
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003838.jpg,2019-11-02 00:38:38,2019-11-02 02:12:47,2021-06-16 07:32:13.062275,2022-09-17 21:39:46.995207,1:34:09
X:\OneDrive\Pictures\Laura ♥\IMG_20191102_003902.jpg,2019-11-02 00:39:02,2019-11-02 02:13:11,2021-06-16 07:32:23.727756,2022-09-17 21:39:46.856205,1:34:09
X:\OneDrive\Pictures\Laura ♥\IMG_20200303_125516.jpg,2020-03-03 12:55:16,2020-03-03 14:44:41,2021-06-15 22:39:52.091538,2022-09-17 21:39:46.174669,1:49:25
X:\OneDrive\Pictures\Laura ♥\IMG_20200303_125502.jpg,2020-03-03 12:55:02,2020-03-03 14:44:35,2021-06-16 07:45:01.344898,2022-09-17 21:39:46.218836,1:49:33
X:\OneDrive\Pictures\Laura ♥\IMG_20200303_125411.jpg,2020-03-03 12:54:11,2020-03-03 14:44:24,2021-06-16 07:45:00.159069,2022-09-17 21:39:46.246712,1:50:13
X:\OneDrive\Pictures\Laura ♥\IMG_20200303_125404.jpg,2020-03-03 12:54:04,2020-03-03 14:44:20,2021-06-16 07:44:59.141789,2022-09-17 21:39:46.273802,1:50:16
X:\OneDrive\Pictures\Laura ♥\IMG_20200303_125359.jpg,2020-03-03 12:53:59,2020-03-03 14:44:17,2021-06-16 07:44:59.022109,2022-09-17 21:39:46.294180,1:50:18
X:\OneDrive\Pictures\Laura ♥\IMG_20201022_182244.jpg,2020-10-22 18:22:44,2020-10-22 20:22:46,2021-06-15 22:21:12.259858,2022-09-17 21:39:45.787284,2:00:02
X:\OneDrive\Pictures\Laura ♥\IMG_20200412_105028.jpg,2020-04-12 10:50:28,2020-04-12 13:39:10,2021-06-16 07:07:23.216103,2022-09-17 21:39:46.139520,2:48:42
X:\OneDrive\Pictures\Laura ♥\IMG_20200412_105036.jpg,2020-04-12 10:50:36,2020-04-12 13:39:21,2021-06-16 07:07:29.379622,2022-09-17 21:39:46.122410,2:48:45
X:\OneDrive\Pictures\Laura ♥\IMG_20200412_105036_1.jpg,2020-04-12 10:50:36,2020-04-12 13:39:31,2021-06-16 07:23:31.097003,2022-09-17 21:39:46.081122,2:48:55
X:\OneDrive\Pictures\Laura ♥\IMG_20191224_100543.jpg,2019-12-24 10:05:43,2019-12-24 12:57:34,2021-06-16 07:16:36.823765,2022-09-17 21:39:46.660968,2:51:51
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_130107.jpg,2019-08-03 13:01:07,2019-08-03 15:56:36,2021-06-16 07:17:22.468710,2022-09-17 21:41:56.702694,2:55:29
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_130109.jpg,2019-08-03 13:01:09,2019-08-03 15:56:38,2021-06-16 07:17:22.829745,2022-09-17 21:41:56.683983,2:55:29
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_130110.jpg,2019-08-03 13:01:10,2019-08-03 15:56:40,2021-06-16 07:17:22.860662,2022-09-17 21:41:56.662969,2:55:30
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_125551.jpg,2019-08-03 12:55:51,2019-08-03 15:56:31,2021-06-16 07:17:20.371318,2022-09-17 21:41:56.743264,3:00:40
X:\OneDrive\Pictures\Urlaub\[2019] Lissabon\IMG_20190803_125551_1.jpg,2019-08-03 12:55:51,2019-08-03 15:56:33,2021-06-16 07:17:20.402236,2022-09-17 21:41:56.719513,3:00:42
